…之…	非常
之下	之下
之外	之外
之内	之内
之后	之后
之间	之间
之前	之前
之上	之上
支	暗示
撑士	下棋
上士	下棋
支士	下棋
支嘴	支使
芝麻	芝麻
(芝)麻油	香油
芝麻糖	麦芽糖
脂麻糖	麦芽糖
芝麻酱	芝麻酱
枝	档子
枝枝	树枝
知客	向导员
知道	晓得
只	档子
滋	涂抹
跐	擦拭
资格	资格
蜘蛛	蜘蛛
汁水	汁液
直	挺直
直眉直眼	直勾勾
直劈	直截了当
直勾勾	直勾勾
直见	接连不断
直端端	径直
直杠子	直性子
直杠杠	直性子
直统统	直截了当
侄女(儿)	侄女
侄儿(子)	侄儿
值价	值钱
执照	执照
掷色子	赌博
织布机	织布机
子	干支
子子	种子
子子货	糖葫芦
子女	子女
子耳朵	编余
子曰	名堂
只	仅仅
只怕	恐怕
只得	只有
只消	只消
只有那们	最
仔鸡	小鸡
仔鸡公	公鸡
仔细	仔细
仔鸭子	鸭子
姊妹	兄妹
指	档子
指指戳戳	指指点点
指拇儿	指头
指拇儿节节	腕关节
指拇儿印	手印
指甲壳儿	指甲
指掐儿	指甲
指掐子	指甲
指甲儿花	指甲花
指甲儿长	贪婪
指甲儿缝	指甲心儿
指倒	朝着
指纹	指纹
纸币	票子
纸坨坨	纸团
纸火铺	店铺
纸牌	纸牌
纸飞飞儿	纸条
纸飞子	纸条
(纸)捻子	纸媒儿
纸媒子	纸媒儿
纸烟	香烟
纸人纸马	纸马
紫雅	文静
紫檀色	紫檀色
紫颜色	紫色
自己人	自己人
自不(待)然	理所当然
自打	自从
自杀	自杀
自家	自己
自家人	自己人
自伙子	内部
自来	从来
自来水笔	自来水笔
自由泳	自由泳
自行车	自行车
自从	自从
字帖	字帖
字财马儿	字谜
字号	字号
制服	军人
炙锅	铁锅
翅膀(儿)	翅膀
痔疮	痔疮
智齿	智齿
痣	黑痣
痣胡子龙眼包子	包子
伸	平展
伸伸戳戳	指指点点
伸手动脚	动手动脚
痴眉痴眼	目瞪口呆
尺	尺子
尺片儿	尺子
尺子	尺子
吃十碗儿的	畜生
吃的	食物
吃欺头	占便宜
吃(起)不香	没胃口
吃洗洗砂	占便宜
吃一碗儿的	狗东西
吃不梭	受不了
吃福喜	占便宜
吃独食子	独吞
吃书茶	听戏
吃巴片儿	占便宜
吃和	占便宜
吃大富	吃饭
吃茶	评理
吃加班茶	喝茶
吃耍耍烟	抽烟
吃挂面	上吊
吃花酒	狎妓
吃花生米(子)	枪毙
吃抹和	占便宜
吃多了	多管闲事
吃砣砣肉	宴请
吃错了药	没头没脑
吃裹搅	占便宜
吃过刀面	杀头
吃豁皮	白吃
吃伙食	吃饭
吃伙食团	吃饭
吃货	食物
吃药	服药
吃白食	白吃
吃白饭	白饭
吃百家饭	乞讨
吃得落	吃光
吃得亏打得(拢)堆	和蔼可亲
吃得干	吃得开
吃干了	吃得开
吃客	顾客
吃黑饭的	坏人
吃泻药	受损
吃夜宵	消夜
吃夜饭	吃饭
吃晚饭	吃饭
吃血汤	宴请
吃对时饭	吃饭
吃雷	回扣
吃冒诈	欺诈
吃(老)王	下棋
吃癆药	自杀
吃早饭	吃饭
吃晌午	吃饭
吃刁巧	挑嘴
吃缴	伙食费
吃偷偷食	独食
吃头	价值
吃九斗碗儿	赴宴
吃九(大)碗儿	赴宴
吃酒	喝酒
吃毬	吃饭
吃油大	赴宴
吃满月酒	宴请
吃饭	吃饭
吃饭了	开饭
吃三百杯	做媒
吃杆烟	吸烟
