阿	至亲
阿爸	叔父
阿伯	老父
阿伯	伯父
阿爹	爸爸
阿兄	弟弟
阿哥	哥哥
安	啊	安?!他真是小冯?	(仔细打量)
安	哼	谁同意你捐的，安?你怎么不把书包也捐了?
巴	张贴	你们没看见中间军乐台前巴的那张布告，不是明明写着?
巴	扶	朱之洪巴着梯头往城外看。
巴倒	顺着	巴倒这条路对直走就到了。
巴	亲近	心儿顶巴我了，你们不要，我要。
巴	巴结	这个人爱去巴倒领导。
巴	补贴	你不送礼也罢，连酒菜也舍不得巴一点。
粑	张贴	你们没看见中间军乐台前粑的那张布告，不是明明写着?
粑	扶	朱之洪粑着梯头往城外看。
粑倒	顺着	粑倒河边走。
粑	亲近	心儿顶粑我了，你们不要，我要。
粑	巴结	这个人爱去粑倒领导。
粑	补贴	你不送礼也罢，连酒菜也舍不得粑一点。
巴	好	冰巴浸|焦巴苦|稀巴脏
巴巴掌	巴掌	欢笑声、巴巴掌声延续了好一阵。
巴壁虎儿	壁虎	巴壁虎儿
爬壁虎	壁虎	爬壁虎
巴叉	之极	可怜巴叉的。
巴沙	之极	遭孽巴沙的。
巴骨巴脉	在理	几个人互相低语道：“讲得好!硬是说得巴骨巴脉。”
巴脉	合理	槐树坪的人，觉得李春山说的太不巴脉,让自己的领导人，一心为工作，处处带头的雷花脸吃亏，他们可不赞成。
巴浪鼓	拨浪鼓	巴浪鼓
巴浪鼓儿	拨浪鼓	巴浪鼓儿
巴郎子	蜻蜓	巴郎子
巴片儿	搭便车	所谓学巴片儿,就是沾光同有钱子弟一起学。
巴骗儿	搭便车	凭借别人而得到的便宜：所谓学巴骗儿,就是沾光同有钱子弟一起学。
巴片儿亲	远亲	不管是巴片儿亲也好，我们总算不是外人。
巴瓢	靠准	管他巴瓢不巴瓢,先把纲给他上起。
巴谱	切题	你说话怎么不巴谱了。
巴肉	贴身	这身衣服太大，穿起不巴肉。
巴适	舒服	好呀，这才巴适哩!硬是要安营扎寨了么?
巴适	漂亮	这间屋布置得好巴适。
巴适	妥帖	看还有什么地方没有贴巴适,用拳头狠狠地在封条上捶几下。
巴适	合适	这件衣裳不大不小，你穿起来硬是巴适。
巴实	舒服	好呀，这才巴实哩!硬是要安营扎寨了么?
巴实	漂亮	这套乳白色贴面傢具好巴实。
巴实	妥帖	看还有什么地方没有贴巴实,用拳头狠狠地在封条上捶几下。
巴实	合适	咸淡刚合适，吃起硬巴实,巴实倒巴实,就是不经事。
巴式	舒服	好呀，这才巴式哩!硬是要安营扎寨了么?
巴式	漂亮	这间屋布置得好巴式。
巴式	妥帖	看还有什么地方没有贴巴式,用拳头狠狠地在封条上捶几下。
巴式	合适	这件衣裳不大不小，你穿起来硬是巴式。
巴适	亲近	说真话，以前子才多巴适我的，现在哩，离皮离骨的。
巴适	巴结	两夫妇倒也伶俐，不到半天功夫，居然把老爷、太太、少奶奶巴适得眉花眼笑。
巴实	亲近	说真话，以前子才多巴实我的，现在哩，离皮离骨的。
巴实	巴结	两夫妇倒也伶俐，不到半天功夫，居然把老爷、太太、少奶奶巴实得眉花眼笑。
巴望	渴望	她巴望丈夫的事情能成功。
巴味	入味	芡一下锅，就把汁全收到菜上去了，很巴味。
巴心巴肝	一心一意	巴心巴肝干了几个月，竟落得这个下场。
巴心巴肠	一心一意	巴心巴肝干了几个月，竟落得这个下场。
巴幸不得	巴不得	她因为同情他，才巴幸不得他几天功夫脱离痛苦。
